,party,state,total_votes,split_votes,vote_perc
725,NNP,Uttar Pradesh,441,520018484,8.480467782756737e-05
375,CPI(ML)(L),Puducherry,438,520018484,8.422777525731182e-05
367,CPI(ML)(L),Andaman & Nicobar Islands,436,520018484,8.384317354380811e-05
564,JD(U),Chandigarh,434,520018484,8.345857183030441e-05
770,PSJP,Uttar Pradesh,433,520018484,8.326627097355254e-05
797,RJAP,NCT OF Delhi,415,520018484,7.980485555201919e-05
602,JMBP,Maharashtra,414,520018484,7.961255469526734e-05
553,IVP,Tamil Nadu,398,520018484,7.653574098723769e-05
930,SJP(R),NCT OF Delhi,395,520018484,7.595883841698212e-05
985,SVPP,Maharashtra,394,520018484,7.576653756023026e-05
936,SP,Andaman & Nicobar Islands,379,520018484,7.288202470895247e-05
917,SHS,Dadra & Nagar Haveli,378,520018484,7.268972385220061e-05
173,APM,Tamil Nadu,372,520018484,7.153591871168949e-05
901,SAP,Puducherry,366,520018484,7.038211357117836e-05
674,MKUP,Uttar Pradesh,360,520018484,6.922830843066725e-05
621,JSMP,NCT OF Delhi,357,520018484,6.865140586041169e-05
1012,VAJP,Uttar Pradesh,350,520018484,6.730529986314871e-05
269,BMUP,Dadra & Nagar Haveli,348,520018484,6.6920698149645e-05
762,PPIS,Maharashtra,331,520018484,6.365158358486349e-05
223,BJM,NCT OF Delhi,325,520018484,6.249777844435238e-05
574,JD(U),Puducherry,309,520018484,5.942096473632272e-05
721,NLP,Maharashtra,308,520018484,5.922866387957086e-05
69,ABAS,Uttar Pradesh,296,520018484,5.692105359854863e-05
828,RPI,Kerala,292,520018484,5.615185017154121e-05
210,BGTD,NCT OF Delhi,290,520018484,5.57672484580375e-05
577,JD(U),Tamil Nadu,274,520018484,5.269043475000785e-05
1019,VSP,NCT OF Delhi,263,520018484,5.057512532573746e-05
798,RJAVP,Haryana,259,520018484,4.9805921898730046e-05
831,RPI,Tamil Nadu,257,520018484,4.9421320185226334e-05
565,JD(U),Dadra & Nagar Haveli,232,520018484,4.461379876643e-05
106,AIFB,Andaman & Nicobar Islands,225,520018484,4.326769276916703e-05
887,RaJPa,NCT OF Delhi,217,520018484,4.1729285915152204e-05
